id,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,county_name,state
0500000US19077,"Guthrie County, Iowa",19.8,9.4,97.3,88.4,Guthrie County, Iowa
0500000US19079,"Hamilton County, Iowa",24.3,7.7,92.0,47.3,Hamilton County, Iowa
0500000US19081,"Hancock County, Iowa",23.8,7.6,96.5,67.8,Hancock County, Iowa
0500000US19083,"Hardin County, Iowa",20.8,9.0,96.2,62.9,Hardin County, Iowa
0500000US19085,"Harrison County, Iowa",19.5,9.5,98.7,44.2,Harrison County, Iowa
0500000US19087,"Henry County, Iowa",19.6,9.6,94.2,44.5,Henry County, Iowa
0500000US19089,"Howard County, Iowa",15.8,9.1,95.9,55.1,Howard County, Iowa
0500000US19091,"Humboldt County, Iowa",21.2,9.1,95.2,79.7,Humboldt County, Iowa
0500000US19093,"Ida County, Iowa",18.6,8.4,98.2,58.3,Ida County, Iowa
0500000US19095,"Iowa County, Iowa",18.8,7.7,96.9,43.2,Iowa County, Iowa
0500000US19097,"Jackson County, Iowa",19.2,8.8,98.7,52.9,Jackson County, Iowa
0500000US19099,"Jasper County, Iowa",18.8,8.3,96.8,41.6,Jasper County, Iowa
0500000US19101,"Jefferson County, Iowa",31.5,10.0,90.6,80.1,Jefferson County, Iowa
0500000US19103,"Johnson County, Iowa",52.8,4.3,84.6,69.9,Johnson County, Iowa
0500000US19105,"Jones County, Iowa",19.5,10.0,97.7,53.4,Jones County, Iowa
0500000US19107,"Keokuk County, Iowa",18.3,8.8,98.5,68.1,Keokuk County, Iowa
0500000US19109,"Kossuth County, Iowa",17.5,10.0,97.7,64.2,Kossuth County, Iowa
0500000US19111,"Lee County, Iowa",16.4,9.4,97.6,36.5,Lee County, Iowa
0500000US19113,"Linn County, Iowa",33.1,8.1,94.2,58.2,Linn County, Iowa
0500000US19115,"Louisa County, Iowa",14.9,6.5,82.2,70.5,Louisa County, Iowa
0500000US19117,"Lucas County, Iowa",17.0,8.5,94.8,55.1,Lucas County, Iowa
0500000US19119,"Lyon County, Iowa",20.7,7.6,96.8,75.9,Lyon County, Iowa
0500000US19121,"Madison County, Iowa",24.5,7.1,96.8,66.0,Madison County, Iowa
0500000US19123,"Mahaska County, Iowa",22.0,6.6,97.4,62.9,Mahaska County, Iowa
0500000US19125,"Marion County, Iowa",28.8,7.7,97.0,38.1,Marion County, Iowa
0500000US19127,"Marshall County, Iowa",18.8,9.6,77.4,69.2,Marshall County, Iowa
0500000US19129,"Mills County, Iowa",24.1,10.3,97.2,47.7,Mills County, Iowa
0500000US19131,"Mitchell County, Iowa",19.0,9.3,94.2,61.5,Mitchell County, Iowa
0500000US19133,"Monona County, Iowa",15.3,10.1,99.1,31.3,Monona County, Iowa
0500000US19135,"Monroe County, Iowa",17.4,8.1,97.3,13.5,Monroe County, Iowa
0500000US19137,"Montgomery County, Iowa",18.5,8.1,96.3,72.0,Montgomery County, Iowa
0500000US19139,"Muscatine County, Iowa",21.5,6.4,86.4,51.7,Muscatine County, Iowa
0500000US19141,"O'Brien County, Iowa",18.8,8.8,94.7,38.0,O'Brien County, Iowa
0500000US19143,"Osceola County, Iowa",17.9,9.0,92.0,85.7,Osceola County, Iowa
0500000US19145,"Page County, Iowa",20.2,8.9,97.2,57.5,Page County, Iowa
0500000US19147,"Palo Alto County, Iowa",25.5,9.5,96.2,86.9,Palo Alto County, Iowa
0500000US19149,"Plymouth County, Iowa",23.2,9.0,94.6,63.7,Plymouth County, Iowa
0500000US19151,"Pocahontas County, Iowa",15.0,9.2,94.5,59.9,Pocahontas County, Iowa
0500000US19153,"Polk County, Iowa",36.7,6.5,86.7,57.7,Polk County, Iowa
0500000US19155,"Pottawattamie County, Iowa",21.5,9.4,93.2,54.7,Pottawattamie County, Iowa
0500000US19157,"Poweshiek County, Iowa",26.1,8.3,95.1,73.4,Poweshiek County, Iowa
0500000US19159,"Ringgold County, Iowa",21.4,8.3,96.3,95.6,Ringgold County, Iowa
0500000US19161,"Sac County, Iowa",20.0,8.8,96.8,48.7,Sac County, Iowa
0500000US19163,"Scott County, Iowa",31.8,9.0,93.4,53.2,Scott County, Iowa
0500000US19165,"Shelby County, Iowa",22.2,9.1,97.1,55.7,Shelby County, Iowa
0500000US19167,"Sioux County, Iowa",29.1,5.7,90.9,73.3,Sioux County, Iowa
0500000US19169,"Story County, Iowa",51.6,4.7,89.1,76.0,Story County, Iowa
0500000US19171,"Tama County, Iowa",15.8,8.4,88.0,58.0,Tama County, Iowa
0500000US19173,"Taylor County, Iowa",14.5,9.9,92.9,73.4,Taylor County, Iowa
0500000US19175,"Union County, Iowa",18.0,9.1,94.7,47.7,Union County, Iowa
0500000US19177,"Van Buren County, Iowa",14.4,9.7,93.6,14.3,Van Buren County, Iowa
0500000US19179,"Wapello County, Iowa",18.8,8.8,88.1,64.2,Wapello County, Iowa
0500000US19181,"Warren County, Iowa",31.9,8.2,97.6,34.5,Warren County, Iowa
0500000US19183,"Washington County, Iowa",21.8,8.7,91.2,54.4,Washington County, Iowa
0500000US19185,"Wayne County, Iowa",12.7,8.3,89.5,42.2,Wayne County, Iowa
0500000US19187,"Webster County, Iowa",19.9,8.5,96.0,62.8,Webster County, Iowa
0500000US19189,"Winnebago County, Iowa",21.8,7.4,95.2,41.1,Winnebago County, Iowa
0500000US19191,"Winneshiek County, Iowa",30.6,6.4,96.5,67.3,Winneshiek County, Iowa
0500000US19193,"Woodbury County, Iowa",23.1,7.0,83.7,45.9,Woodbury County, Iowa
0500000US19195,"Worth County, Iowa",17.5,9.5,98.7,28.6,Worth County, Iowa
0500000US19197,"Wright County, Iowa",17.2,8.6,90.2,68.9,Wright County, Iowa
0500000US20001,"Allen County, Kansas",20.3,8.8,97.6,44.4,Allen County, Kansas
0500000US20003,"Anderson County, Kansas",18.1,9.8,97.8,52.7,Anderson County, Kansas
0500000US20005,"Atchison County, Kansas",22.0,7.9,98.7,50.0,Atchison County, Kansas
0500000US20007,"Barber County, Kansas",20.7,8.2,94.9,77.5,Barber County, Kansas
0500000US20009,"Barton County, Kansas",20.9,7.7,89.4,74.2,Barton County, Kansas
0500000US20011,"Bourbon County, Kansas",21.7,8.7,98.3,9.3,Bourbon County, Kansas
0500000US20013,"Brown County, Kansas",21.2,9.7,97.9,75.9,Brown County, Kansas
0500000US20015,"Butler County, Kansas",29.8,9.9,96.0,47.7,Butler County, Kansas
0500000US20017,"Chase County, Kansas",25.5,9.3,96.5,53.2,Chase County, Kansas
0500000US20019,"Chautauqua County, Kansas",15.9,10.8,98.9,47.8,Chautauqua County, Kansas
0500000US20021,"Cherokee County, Kansas",19.6,7.8,97.9,72.3,Cherokee County, Kansas
0500000US20023,"Cheyenne County, Kansas",28.9,10.4,91.7,82.5,Cheyenne County, Kansas
0500000US20025,"Clark County, Kansas",26.1,11.3,94.7,55.3,Clark County, Kansas
0500000US20027,"Clay County, Kansas",26.7,15.3,97.8,29.4,Clay County, Kansas
0500000US20029,"Cloud County, Kansas",24.0,8.6,96.3,52.9,Cloud County, Kansas
0500000US20031,"Coffey County, Kansas",24.5,12.1,99.0,22.6,Coffey County, Kansas
0500000US20033,"Comanche County, Kansas",16.0,7.3,96.8,63.6,Comanche County, Kansas
0500000US20035,"Cowley County, Kansas",21.8,8.7,93.3,44.3,Cowley County, Kansas
0500000US20037,"Crawford County, Kansas",29.9,6.5,94.2,61.0,Crawford County, Kansas
0500000US20039,"Decatur County, Kansas",22.5,10.0,95.6,79.3,Decatur County, Kansas
0500000US20041,"Dickinson County, Kansas",22.9,12.5,97.5,51.7,Dickinson County, Kansas
0500000US20043,"Doniphan County, Kansas",21.1,9.1,98.1,71.2,Doniphan County, Kansas
0500000US20045,"Douglas County, Kansas",49.6,5.0,89.8,66.5,Douglas County, Kansas
0500000US20047,"Edwards County, Kansas",18.1,5.8,80.6,66.3,Edwards County, Kansas
0500000US20049,"Elk County, Kansas",15.6,10.1,96.5,42.9,Elk County, Kansas
0500000US20051,"Ellis County, Kansas",36.3,6.5,93.5,55.8,Ellis County, Kansas
0500000US20053,"Ellsworth County, Kansas",19.5,7.8,96.5,71.5,Ellsworth County, Kansas
0500000US20055,"Finney County, Kansas",17.1,3.9,54.6,61.9,Finney County, Kansas
0500000US20057,"Ford County, Kansas",17.7,3.9,47.6,74.2,Ford County, Kansas
0500000US20059,"Franklin County, Kansas",20.4,8.6,98.0,47.5,Franklin County, Kansas
0500000US20061,"Geary County, Kansas",23.2,26.2,84.1,33.5,Geary County, Kansas
0500000US20063,"Gove County, Kansas",19.7,7.2,97.4,58.5,Gove County, Kansas
0500000US20065,"Graham County, Kansas",24.7,9.2,97.6,72.1,Graham County, Kansas
0500000US20067,"Grant County, Kansas",14.9,5.1,63.3,70.8,Grant County, Kansas
0500000US20069,"Gray County, Kansas",20.2,6.2,79.7,75.0,Gray County, Kansas
0500000US20071,"Greeley County, Kansas",27.2,7.3,77.0,57.0,Greeley County, Kansas
0500000US20073,"Greenwood County, Kansas",19.9,11.0,98.6,39.4,Greenwood County, Kansas
0500000US20075,"Hamilton County, Kansas",18.7,6.6,73.4,78.8,Hamilton County, Kansas
0500000US20077,"Harper County, Kansas",16.2,9.6,94.5,81.3,Harper County, Kansas
0500000US20079,"Harvey County, Kansas",33.2,7.3,94.0,70.0,Harvey County, Kansas
0500000US20081,"Haskell County, Kansas",17.1,3.4,61.7,63.6,Haskell County, Kansas
0500000US20083,"Hodgeman County, Kansas",30.8,8.2,91.5,89.8,Hodgeman County, Kansas
0500000US20085,"Jackson County, Kansas",20.2,11.5,96.9,50.3,Jackson County, Kansas
0500000US20087,"Jefferson County, Kansas",23.2,10.2,98.4,48.0,Jefferson County, Kansas
0500000US20089,"Jewell County, Kansas",19.3,9.9,98.6,75.7,Jewell County, Kansas
0500000US20091,"Johnson County, Kansas",56.0,6.4,88.1,52.8,Johnson County, Kansas
0500000US20093,"Kearny County, Kansas",14.7,5.4,75.8,64.3,Kearny County, Kansas
0500000US20095,"Kingman County, Kansas",24.4,10.0,96.4,69.6,Kingman County, Kansas
0500000US20097,"Kiowa County, Kansas",28.1,7.2,92.4,67.3,Kiowa County, Kansas
0500000US20099,"Labette County, Kansas",18.7,7.6,96.3,35.2,Labette County, Kansas
0500000US20101,"Lane County, Kansas",23.1,9.4,94.0,20.4,Lane County, Kansas
0500000US20103,"Leavenworth County, Kansas",31.5,16.1,95.3,44.7,Leavenworth County, Kansas
0500000US20105,"Lincoln County, Kansas",22.8,10.0,97.6,81.8,Lincoln County, Kansas
0500000US20107,"Linn County, Kansas",16.2,9.5,99.1,35.1,Linn County, Kansas
0500000US20109,"Logan County, Kansas",16.6,7.7,97.2,66.1,Logan County, Kansas
0500000US20111,"Lyon County, Kansas",27.5,6.6,82.1,71.3,Lyon County, Kansas
0500000US20113,"McPherson County, Kansas",28.0,6.6,96.2,48.6,McPherson County, Kansas
0500000US20115,"Marion County, Kansas",25.0,8.3,97.3,41.0,Marion County, Kansas
0500000US20117,"Marshall County, Kansas",18.9,9.4,97.0,47.3,Marshall County, Kansas
0500000US20119,"Meade County, Kansas",20.3,6.0,78.8,59.6,Meade County, Kansas
0500000US20121,"Miami County, Kansas",29.8,8.7,97.9,61.8,Miami County, Kansas
0500000US20123,"Mitchell County, Kansas",26.1,8.7,98.0,19.2,Mitchell County, Kansas
0500000US20125,"Montgomery County, Kansas",19.5,9.6,95.8,48.5,Montgomery County, Kansas
0500000US20127,"Morris County, Kansas",21.4,11.8,96.2,64.4,Morris County, Kansas
0500000US20129,"Morton County, Kansas",17.3,8.0,78.6,58.6,Morton County, Kansas
0500000US20131,"Nemaha County, Kansas",25.4,7.5,97.8,39.8,Nemaha County, Kansas
0500000US20133,"Neosho County, Kansas",18.1,7.4,96.7,83.8,Neosho County, Kansas
0500000US20135,"Ness County, Kansas",19.4,8.9,88.9,69.1,Ness County, Kansas
0500000US20137,"Norton County, Kansas",18.8,7.2,97.1,84.2,Norton County, Kansas
0500000US20139,"Osage County, Kansas",19.2,11.9,97.9,25.0,Osage County, Kansas
0500000US20141,"Osborne County, Kansas",23.6,7.5,97.5,22.6,Osborne County, Kansas
0500000US20143,"Ottawa County, Kansas",24.5,8.3,98.1,58.3,Ottawa County, Kansas
0500000US20145,"Pawnee County, Kansas",19.6,10.2,97.2,64.1,Pawnee County, Kansas
0500000US20147,"Phillips County, Kansas",21.8,9.6,97.6,70.8,Phillips County, Kansas
0500000US20149,"Pottawatomie County, Kansas",33.8,9.2,95.4,65.5,Pottawatomie County, Kansas
0500000US20151,"Pratt County, Kansas",30.3,7.4,92.6,61.1,Pratt County, Kansas
0500000US20153,"Rawlins County, Kansas",24.1,9.2,92.2,71.9,Rawlins County, Kansas
0500000US20155,"Reno County, Kansas",20.9,8.4,93.4,68.6,Reno County, Kansas
0500000US20157,"Republic County, Kansas",25.5,9.2,98.3,57.8,Republic County, Kansas
0500000US20159,"Rice County, Kansas",22.8,6.7,92.4,77.9,Rice County, Kansas
0500000US20161,"Riley County, Kansas",45.6,9.2,88.8,68.4,Riley County, Kansas
0500000US20163,"Rooks County, Kansas",23.1,8.7,98.5,25.0,Rooks County, Kansas
0500000US20165,"Rush County, Kansas",23.7,8.9,97.8,17.6,Rush County, Kansas
0500000US20167,"Russell County, Kansas",23.1,8.2,95.8,84.2,Russell County, Kansas
0500000US20169,"Saline County, Kansas",27.3,9.1,90.1,53.4,Saline County, Kansas
0500000US20171,"Scott County, Kansas",25.1,5.2,86.4,60.4,Scott County, Kansas
0500000US20173,"Sedgwick County, Kansas",30.9,8.4,85.3,54.3,Sedgwick County, Kansas
0500000US20175,"Seward County, Kansas",11.0,3.5,41.1,65.7,Seward County, Kansas
0500000US20177,"Shawnee County, Kansas",30.9,9.4,91.7,58.2,Shawnee County, Kansas
0500000US20179,"Sheridan County, Kansas",22.0,8.9,94.0,64.1,Sheridan County, Kansas
0500000US20181,"Sherman County, Kansas",21.8,5.3,88.6,66.2,Sherman County, Kansas
0500000US20183,"Smith County, Kansas",22.3,10.5,98.8,82.9,Smith County, Kansas
0500000US20185,"Stafford County, Kansas",25.2,7.4,90.4,50.7,Stafford County, Kansas
0500000US20187,"Stanton County, Kansas",19.0,2.9,65.0,56.6,Stanton County, Kansas
0500000US20189,"Stevens County, Kansas",13.7,5.3,65.4,82.0,Stevens County, Kansas
0500000US20191,"Sumner County, Kansas",23.3,8.3,97.5,40.3,Sumner County, Kansas
0500000US20193,"Thomas County, Kansas",22.6,5.9,94.8,71.9,Thomas County, Kansas
0500000US20195,"Trego County, Kansas",24.8,10.4,99.5,15.8,Trego County, Kansas
0500000US20197,"Wabaunsee County, Kansas",24.2,9.8,98.0,22.9,Wabaunsee County, Kansas
0500000US20199,"Wallace County, Kansas",32.4,10.3,95.9,48.4,Wallace County, Kansas
0500000US20201,"Washington County, Kansas",20.3,8.1,96.8,72.4,Washington County, Kansas
0500000US20203,"Wichita County, Kansas",20.6,7.5,73.3,81.3,Wichita County, Kansas
0500000US20205,"Wilson County, Kansas",16.5,7.6,98.6,24.7,Wilson County, Kansas
0500000US20207,"Woodson County, Kansas",17.2,10.0,99.0,16.7,Woodson County, Kansas
0500000US20209,"Wyandotte County, Kansas",18.1,6.7,71.9,78.9,Wyandotte County, Kansas
0500000US21001,"Adair County, Kentucky",15.7,7.1,97.4,78.1,Adair County, Kentucky
0500000US21003,"Allen County, Kentucky",16.1,6.6,93.6,53.1,Allen County, Kentucky
0500000US21005,"Anderson County, Kentucky",20.2,6.9,97.8,73.4,Anderson County, Kentucky
0500000US21007,"Ballard County, Kentucky",15.9,10.9,96.0,15.6,Ballard County, Kentucky
0500000US21009,"Barren County, Kentucky",16.3,6.2,95.7,75.8,Barren County, Kentucky
0500000US21011,"Bath County, Kentucky",14.5,7.3,95.6,73.0,Bath County, Kentucky
0500000US21013,"Bell County, Kentucky",9.2,5.0,99.5,56.3,Bell County, Kentucky
0500000US21015,"Boone County, Kentucky",32.1,9.0,92.7,60.8,Boone County, Kentucky
0500000US21017,"Bourbon County, Kentucky",19.4,7.8,92.9,78.3,Bourbon County, Kentucky
0500000US21019,"Boyd County, Kentucky",19.4,9.4,98.1,52.0,Boyd County, Kentucky
0500000US21021,"Boyle County, Kentucky",25.2,6.3,96.1,65.3,Boyle County, Kentucky
0500000US21023,"Bracken County, Kentucky",13.2,5.3,97.9,54.8,Bracken County, Kentucky
0500000US21025,"Breathitt County, Kentucky",15.2,4.2,99.3,35.8,Breathitt County, Kentucky
0500000US21027,"Breckinridge County, Kentucky",11.9,10.0,96.5,54.3,Breckinridge County, Kentucky
0500000US21029,"Bullitt County, Kentucky",14.7,8.8,97.5,46.6,Bullitt County, Kentucky
0500000US21031,"Butler County, Kentucky",13.9,8.7,95.6,86.9,Butler County, Kentucky
0500000US21033,"Caldwell County, Kentucky",15.3,6.9,97.7,42.9,Caldwell County, Kentucky
0500000US21035,"Calloway County, Kentucky",28.5,6.3,95.2,65.4,Calloway County, Kentucky
0500000US21037,"Campbell County, Kentucky",36.3,7.1,96.3,50.9,Campbell County, Kentucky
0500000US21039,"Carlisle County, Kentucky",14.9,7.7,98.5,11.9,Carlisle County, Kentucky
0500000US21041,"Carroll County, Kentucky",8.2,8.8,94.3,76.0,Carroll County, Kentucky
0500000US21043,"Carter County, Kentucky",12.6,5.1,98.9,91.2,Carter County, Kentucky
0500000US21045,"Casey County, Kentucky",12.8,6.2,95.9,85.4,Casey County, Kentucky
0500000US21047,"Christian County, Kentucky",18.1,13.2,90.2,39.3,Christian County, Kentucky
0500000US21049,"Clark County, Kentucky",20.1,7.8,97.0,63.9,Clark County, Kentucky
0500000US21051,"Clay County, Kentucky",9.8,5.0,98.5,67.6,Clay County, Kentucky
0500000US21053,"Clinton County, Kentucky",10.3,8.0,96.9,61.7,Clinton County, Kentucky
0500000US21055,"Crittenden County, Kentucky",13.1,8.8,93.6,23.0,Crittenden County, Kentucky
0500000US21057,"Cumberland County, Kentucky",13.3,8.1,96.3,74.4,Cumberland County, Kentucky
0500000US21059,"Daviess County, Kentucky",22.9,8.1,95.2,65.8,Daviess County, Kentucky
0500000US21061,"Edmonson County, Kentucky",10.3,7.5,98.7,61.5,Edmonson County, Kentucky
0500000US21063,"Elliott County, Kentucky",9.7,5.5,97.8,35.0,Elliott County, Kentucky
0500000US21065,"Estill County, Kentucky",9.9,5.9,99.8,100.0,Estill County, Kentucky
0500000US21067,"Fayette County, Kentucky",43.6,6.1,86.9,70.2,Fayette County, Kentucky
0500000US21069,"Fleming County, Kentucky",12.9,7.7,96.1,38.1,Fleming County, Kentucky
0500000US21071,"Floyd County, Kentucky",11.3,4.9,99.1,50.8,Floyd County, Kentucky
0500000US21073,"Franklin County, Kentucky",29.9,8.2,94.1,69.1,Franklin County, Kentucky
0500000US21075,"Fulton County, Kentucky",13.4,10.4,97.9,73.7,Fulton County, Kentucky
0500000US21077,"Gallatin County, Kentucky",11.6,7.3,95.9,84.5,Gallatin County, Kentucky
0500000US21079,"Garrard County, Kentucky",17.6,8.3,96.9,42.8,Garrard County, Kentucky
0500000US21081,"Grant County, Kentucky",12.9,9.3,97.2,3.3,Grant County, Kentucky
0500000US21083,"Graves County, Kentucky",17.4,6.6,93.7,60.4,Graves County, Kentucky
0500000US21085,"Grayson County, Kentucky",10.5,8.7,98.4,54.4,Grayson County, Kentucky
0500000US21087,"Green County, Kentucky",13.2,7.4,98.6,79.4,Green County, Kentucky
0500000US21089,"Greenup County, Kentucky",17.1,8.3,98.9,39.0,Greenup County, Kentucky
0500000US21091,"Hancock County, Kentucky",11.4,8.4,97.3,51.8,Hancock County, Kentucky
0500000US21093,"Hardin County, Kentucky",22.0,18.0,93.4,35.9,Hardin County, Kentucky
0500000US21095,"Harlan County, Kentucky",10.8,6.9,98.3,46.7,Harlan County, Kentucky
0500000US21097,"Harrison County, Kentucky",14.6,6.6,97.2,71.8,Harrison County, Kentucky
0500000US21099,"Hart County, Kentucky",11.4,8.7,93.3,61.5,Hart County, Kentucky
0500000US21101,"Henderson County, Kentucky",18.2,7.9,97.5,48.5,Henderson County, Kentucky
0500000US21103,"Henry County, Kentucky",13.1,9.4,96.4,50.4,Henry County, Kentucky
0500000US21105,"Hickman County, Kentucky",15.8,11.4,97.9,9.1,Hickman County, Kentucky
0500000US21107,"Hopkins County, Kentucky",16.5,7.9,98.4,41.7,Hopkins County, Kentucky
0500000US21109,"Jackson County, Kentucky",13.8,4.2,98.8,,Jackson County, Kentucky
0500000US21111,"Jefferson County, Kentucky",33.4,7.7,90.4,55.0,Jefferson County, Kentucky
0500000US21113,"Jessamine County, Kentucky",29.5,7.7,93.9,54.3,Jessamine County, Kentucky
0500000US21115,"Johnson County, Kentucky",16.3,6.5,97.8,63.6,Johnson County, Kentucky
0500000US21117,"Kenton County, Kentucky",31.7,8.0,95.5,61.2,Kenton County, Kentucky
0500000US21119,"Knott County, Kentucky",14.9,4.0,98.8,54.2,Knott County, Kentucky
0500000US21121,"Knox County, Kentucky",14.2,5.8,98.8,55.8,Knox County, Kentucky
0500000US21123,"Larue County, Kentucky",12.4,10.2,96.9,79.0,Larue County, Kentucky
0500000US21125,"Laurel County, Kentucky",14.4,7.0,98.4,26.4,Laurel County, Kentucky
0500000US21127,"Lawrence County, Kentucky",9.8,4.5,99.2,86.8,Lawrence County, Kentucky
0500000US21129,"Lee County, Kentucky",8.3,4.8,98.6,100.0,Lee County, Kentucky
0500000US21131,"Leslie County, Kentucky",8.7,5.2,99.1,38.7,Leslie County, Kentucky
0500000US21133,"Letcher County, Kentucky",12.1,4.0,98.9,69.1,Letcher County, Kentucky
0500000US21135,"Lewis County, Kentucky",9.1,7.2,98.4,70.4,Lewis County, Kentucky
0500000US21137,"Lincoln County, Kentucky",13.0,7.4,96.6,85.8,Lincoln County, Kentucky
0500000US21139,"Livingston County, Kentucky",11.8,7.4,98.3,0.0,Livingston County, Kentucky
0500000US21141,"Logan County, Kentucky",16.4,6.7,96.9,45.4,Logan County, Kentucky
0500000US21143,"Lyon County, Kentucky",16.9,12.3,97.3,61.5,Lyon County, Kentucky
0500000US21145,"McCracken County, Kentucky",24.2,8.3,97.3,40.8,McCracken County, Kentucky
0500000US21147,"McCreary County, Kentucky",7.2,7.8,96.8,72.9,McCreary County, Kentucky
0500000US21149,"McLean County, Kentucky",13.5,7.6,99.3,57.6,McLean County, Kentucky
0500000US21151,"Madison County, Kentucky",30.8,7.6,95.8,61.5,Madison County, Kentucky
0500000US21153,"Magoffin County, Kentucky",9.5,3.2,99.8,100.0,Magoffin County, Kentucky
0500000US21155,"Marion County, Kentucky",12.6,7.3,97.2,65.2,Marion County, Kentucky
0500000US21157,"Marshall County, Kentucky",19.2,9.1,98.5,31.0,Marshall County, Kentucky
0500000US21159,"Martin County, Kentucky",11.7,3.8,96.9,62.2,Martin County, Kentucky
0500000US21161,"Mason County, Kentucky",19.5,6.7,94.2,83.0,Mason County, Kentucky
0500000US21163,"Meade County, Kentucky",19.4,16.7,97.6,41.9,Meade County, Kentucky
0500000US21165,"Menifee County, Kentucky",11.2,5.7,98.4,52.6,Menifee County, Kentucky
0500000US21167,"Mercer County, Kentucky",18.5,8.2,95.4,78.6,Mercer County, Kentucky
0500000US21169,"Metcalfe County, Kentucky",13.0,8.7,97.4,42.7,Metcalfe County, Kentucky
0500000US21171,"Monroe County, Kentucky",14.4,7.7,95.4,78.0,Monroe County, Kentucky
0500000US21173,"Montgomery County, Kentucky",15.7,8.1,98.1,69.4,Montgomery County, Kentucky
0500000US21175,"Morgan County, Kentucky",12.5,6.4,98.3,91.0,Morgan County, Kentucky
0500000US21177,"Muhlenberg County, Kentucky",12.6,7.1,96.9,60.9,Muhlenberg County, Kentucky
0500000US21179,"Nelson County, Kentucky",18.0,9.3,97.9,59.6,Nelson County, Kentucky
0500000US21181,"Nicholas County, Kentucky",8.9,6.7,94.4,53.8,Nicholas County, Kentucky
0500000US21183,"Ohio County, Kentucky",13.6,8.5,97.6,73.7,Ohio County, Kentucky
0500000US21185,"Oldham County, Kentucky",42.4,8.7,95.4,45.8,Oldham County, Kentucky
0500000US21187,"Owen County, Kentucky",10.9,7.8,99.1,80.0,Owen County, Kentucky
0500000US21189,"Owsley County, Kentucky",16.2,4.0,99.2,0.0,Owsley County, Kentucky
0500000US21191,"Pendleton County, Kentucky",13.2,7.6,98.2,45.5,Pendleton County, Kentucky
0500000US21193,"Perry County, Kentucky",14.4,6.6,97.4,77.3,Perry County, Kentucky
0500000US21195,"Pike County, Kentucky",13.0,5.8,99.0,44.4,Pike County, Kentucky
0500000US21197,"Powell County, Kentucky",15.9,7.4,98.5,48.1,Powell County, Kentucky
0500000US21199,"Pulaski County, Kentucky",16.5,9.2,97.1,58.8,Pulaski County, Kentucky
0500000US21201,"Robertson County, Kentucky",16.3,5.2,96.5,0.0,Robertson County, Kentucky
0500000US21203,"Rockcastle County, Kentucky",11.4,5.8,98.9,38.5,Rockcastle County, Kentucky
0500000US21205,"Rowan County, Kentucky",25.1,5.9,95.4,53.3,Rowan County, Kentucky
0500000US21207,"Russell County, Kentucky",14.7,6.9,96.6,64.1,Russell County, Kentucky
0500000US21209,"Scott County, Kentucky",28.4,8.6,95.0,73.3,Scott County, Kentucky
0500000US21211,"Shelby County, Kentucky",24.9,6.8,90.8,74.6,Shelby County, Kentucky
0500000US21213,"Simpson County, Kentucky",14.2,7.9,97.3,54.5,Simpson County, Kentucky
0500000US21215,"Spencer County, Kentucky",20.3,7.8,98.3,47.4,Spencer County, Kentucky
0500000US21217,"Taylor County, Kentucky",19.6,6.9,98.2,75.6,Taylor County, Kentucky
0500000US21219,"Todd County, Kentucky",13.2,7.6,88.5,79.5,Todd County, Kentucky
0500000US21221,"Trigg County, Kentucky",16.6,14.0,94.0,36.0,Trigg County, Kentucky
0500000US21223,"Trimble County, Kentucky",14.1,9.7,98.9,61.6,Trimble County, Kentucky
0500000US21225,"Union County, Kentucky",11.1,7.9,97.4,61.3,Union County, Kentucky
0500000US21227,"Warren County, Kentucky",32.2,7.0,88.0,66.2,Warren County, Kentucky
0500000US21229,"Washington County, Kentucky",18.8,5.8,94.4,70.7,Washington County, Kentucky
0500000US21231,"Wayne County, Kentucky",12.3,7.6,97.1,76.4,Wayne County, Kentucky
0500000US21233,"Webster County, Kentucky",10.0,6.8,94.3,75.3,Webster County, Kentucky
0500000US21235,"Whitley County, Kentucky",20.4,7.1,98.2,69.8,Whitley County, Kentucky
0500000US21237,"Wolfe County, Kentucky",8.7,6.2,97.7,35.7,Wolfe County, Kentucky
0500000US21239,"Woodford County, Kentucky",33.8,8.2,93.6,86.7,Woodford County, Kentucky
0500000US22001,"Acadia Parish, Louisiana",13.3,5.8,90.0,59.0,Acadia Parish, Louisiana
0500000US22003,"Allen Parish, Louisiana",11.3,6.4,90.1,85.7,Allen Parish, Louisiana
0500000US22005,"Ascension Parish, Louisiana",26.4,5.6,93.9,68.2,Ascension Parish, Louisiana
0500000US22007,"Assumption Parish, Louisiana",9.6,6.6,87.4,60.8,Assumption Parish, Louisiana
0500000US22009,"Avoyelles Parish, Louisiana",12.3,7.1,89.2,58.9,Avoyelles Parish, Louisiana
0500000US22011,"Beauregard Parish, Louisiana",17.8,11.4,94.6,52.3,Beauregard Parish, Louisiana
0500000US22013,"Bienville Parish, Louisiana",12.8,7.4,98.5,42.9,Bienville Parish, Louisiana
0500000US22015,"Bossier Parish, Louisiana",25.2,12.5,94.0,44.7,Bossier Parish, Louisiana
