id,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,county_name,state
0500000US01131,"Wilcox County, Alabama",12.5,4.7,97.3,50.0,Wilcox County, Alabama
0500000US01133,"Winston County, Alabama",12.8,7.3,97.5,80.1,Winston County, Alabama
0500000US04001,"Apache County, Arizona",12.3,5.9,46.2,50.8,Apache County, Arizona
0500000US04003,"Cochise County, Arizona",23.1,19.2,71.7,44.2,Cochise County, Arizona
0500000US04005,"Coconino County, Arizona",36.2,6.6,76.0,57.0,Coconino County, Arizona
0500000US04007,"Gila County, Arizona",18.7,12.9,82.9,46.6,Gila County, Arizona
0500000US04009,"Graham County, Arizona",15.2,7.0,79.8,61.6,Graham County, Arizona
0500000US04011,"Greenlee County, Arizona",13.5,9.3,78.6,58.7,Greenlee County, Arizona
0500000US04012,"La Paz County, Arizona",12.0,14.5,82.0,68.5,La Paz County, Arizona
0500000US04013,"Maricopa County, Arizona",32.7,7.7,73.0,58.6,Maricopa County, Arizona
0500000US04015,"Mohave County, Arizona",12.9,14.3,89.5,47.8,Mohave County, Arizona
0500000US04017,"Navajo County, Arizona",15.3,9.1,62.5,53.9,Navajo County, Arizona
0500000US04019,"Pima County, Arizona",32.4,10.6,71.8,51.7,Pima County, Arizona
0500000US04021,"Pinal County, Arizona",19.5,10.5,78.8,55.9,Pinal County, Arizona
0500000US04023,"Santa Cruz County, Arizona",20.4,5.1,20.3,42.8,Santa Cruz County, Arizona
0500000US04025,"Yavapai County, Arizona",25.9,13.8,89.0,44.4,Yavapai County, Arizona
0500000US04027,"Yuma County, Arizona",15.0,10.1,46.8,55.1,Yuma County, Arizona
0500000US05001,"Arkansas County, Arkansas",15.8,7.4,98.0,54.5,Arkansas County, Arkansas
0500000US05003,"Ashley County, Arkansas",12.3,6.2,94.8,79.5,Ashley County, Arkansas
0500000US05005,"Baxter County, Arkansas",17.9,13.7,98.2,17.7,Baxter County, Arkansas
0500000US05007,"Benton County, Arkansas",33.4,7.9,86.4,69.1,Benton County, Arkansas
0500000US05009,"Boone County, Arkansas",16.1,10.6,98.5,28.9,Boone County, Arkansas
0500000US05011,"Bradley County, Arkansas",14.3,9.3,83.2,65.0,Bradley County, Arkansas
0500000US05013,"Calhoun County, Arkansas",11.4,8.7,96.7,35.1,Calhoun County, Arkansas
0500000US05015,"Carroll County, Arkansas",21.2,10.6,86.9,67.5,Carroll County, Arkansas
0500000US05017,"Chicot County, Arkansas",15.9,5.7,93.3,62.2,Chicot County, Arkansas
0500000US05019,"Clark County, Arkansas",26.6,7.8,95.1,71.6,Clark County, Arkansas
0500000US05021,"Clay County, Arkansas",12.6,8.3,98.6,36.8,Clay County, Arkansas
0500000US05023,"Cleburne County, Arkansas",15.5,12.5,97.6,65.0,Cleburne County, Arkansas
0500000US05025,"Cleveland County, Arkansas",16.2,7.7,99.0,85.5,Cleveland County, Arkansas
0500000US05027,"Columbia County, Arkansas",19.6,7.1,96.8,65.8,Columbia County, Arkansas
0500000US05029,"Conway County, Arkansas",15.6,10.9,96.8,63.2,Conway County, Arkansas
