id,Geographic Area Name,Percent!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!Asian,Percent!!HISPANIC OR LATINO AND RACE!!Total population,gen_z,gen_y,gen_x,baby_boomer,silent_gen,county_name,state
0500000US19171,"Tama County, Iowa",17032,87.8,0.9,0.5,17032,12.2,10.3,23.8,24.8,9.3,Tama County, Iowa
0500000US19173,"Taylor County, Iowa",6167,94.6,0.0,1.0,6167,11.2,10.6,22.1,26.1,10.3,Taylor County, Iowa
0500000US19175,"Union County, Iowa",12358,96.7,0.5,1.5,12358,13.399999999999999,11.2,23.2,24.5,9.4,Union County, Iowa
0500000US19177,"Van Buren County, Iowa",7150,97.3,0.7,0.5,7150,11.0,9.3,23.299999999999997,28.0,9.6,Van Buren County, Iowa
0500000US19179,"Wapello County, Iowa",35141,87.3,3.6,1.2,35141,13.0,12.3,24.200000000000003,23.6,7.9,Wapello County, Iowa
0500000US19181,"Warren County, Iowa",50076,96.0,0.5,0.7,50076,13.9,11.2,26.1,22.0,6.5,Warren County, Iowa
0500000US19183,"Washington County, Iowa",22100,95.2,0.8,0.6,22100,12.6,11.3,23.6,23.6,8.7,Washington County, Iowa
0500000US19185,"Wayne County, Iowa",6429,97.2,0.3,0.1,6429,11.0,10.8,20.1,25.700000000000003,11.2,Wayne County, Iowa
0500000US19187,"Webster County, Iowa",36545,90.6,4.7,1.4,36545,15.0,12.3,22.5,24.4,8.2,Webster County, Iowa
0500000US19189,"Winnebago County, Iowa",10534,94.9,1.7,1.3,10534,15.2,9.8,21.6,25.9,10.2,Winnebago County, Iowa
0500000US19191,"Winneshiek County, Iowa",20262,96.7,1.5,0.7,20262,19.700000000000003,9.2,21.2,25.5,9.600000000000001,Winneshiek County, Iowa
0500000US19193,"Woodbury County, Iowa",102586,85.7,3.6,2.8,102586,14.0,13.1,24.1,20.700000000000003,6.3,Woodbury County, Iowa
0500000US19195,"Worth County, Iowa",7445,96.5,1.6,0.3,7445,12.100000000000001,10.7,24.200000000000003,26.7,9.2,Worth County, Iowa
0500000US19197,"Wright County, Iowa",12739,93.4,0.4,0.5,12739,10.6,10.4,21.7,26.099999999999998,11.2,Wright County, Iowa
0500000US20001,"Allen County, Kansas",12556,93.0,1.0,0.7,12556,13.2,9.9,23.4,25.6,9.1,Allen County, Kansas
0500000US20003,"Anderson County, Kansas",7835,96.7,0.5,0.0,7835,12.2,9.3,22.5,24.8,10.2,Anderson County, Kansas
0500000US20005,"Atchison County, Kansas",16268,89.6,2.9,0.5,16268,18.5,10.9,20.9,22.8,7.6,Atchison County, Kansas
0500000US20007,"Barber County, Kansas",4624,94.7,0.8,1.6,4624,9.600000000000001,12.3,20.2,27.7,9.4,Barber County, Kansas
0500000US20009,"Barton County, Kansas",26453,93.9,1.2,0.4,26453,12.8,12.3,21.3,24.6,9.3,Barton County, Kansas
0500000US20011,"Bourbon County, Kansas",14608,92.4,2.8,0.8,14608,13.399999999999999,11.0,21.299999999999997,23.9,9.0,Bourbon County, Kansas
0500000US20013,"Brown County, Kansas",9626,85.3,0.9,0.6,9626,10.8,10.7,22.4,26.5,8.6,Brown County, Kansas
0500000US20015,"Butler County, Kansas",66698,93.0,2.5,1.3,66698,13.399999999999999,11.5,25.8,21.9,6.5,Butler County, Kansas
0500000US20017,"Chase County, Kansas",2637,94.8,1.7,0.1,2637,11.7,8.3,22.6,27.200000000000003,10.9,Chase County, Kansas
0500000US20019,"Chautauqua County, Kansas",3323,88.4,0.5,0.3,3323,9.4,10.5,19.799999999999997,28.7,12.8,Chautauqua County, Kansas
0500000US20021,"Cherokee County, Kansas",20179,90.1,0.6,0.4,20179,11.9,11.0,24.299999999999997,25.3,8.1,Cherokee County, Kansas
0500000US20023,"Cheyenne County, Kansas",2665,95.8,0.0,0.0,2665,11.100000000000001,9.5,20.0,28.400000000000002,13.7,Cheyenne County, Kansas
0500000US20025,"Clark County, Kansas",2026,94.6,0.5,1.1,2026,9.0,9.3,22.4,24.1,13.899999999999999,Clark County, Kansas
0500000US20027,"Clay County, Kansas",8082,96.5,0.9,0.6,8082,10.100000000000001,10.1,23.1,25.4,11.3,Clay County, Kansas
0500000US20029,"Cloud County, Kansas",8938,95.2,2.0,0.1,8938,13.2,11.0,21.799999999999997,23.9,10.4,Cloud County, Kansas
0500000US20031,"Coffey County, Kansas",8254,95.6,0.8,0.1,8254,12.1,10.9,23.4,27.5,8.8,Coffey County, Kansas
0500000US20033,"Comanche County, Kansas",1740,99.1,0.2,0.0,1740,11.0,4.8,23.8,32.7,10.4,Comanche County, Kansas
0500000US20035,"Cowley County, Kansas",35351,88.0,3.3,1.6,35351,14.1,11.6,23.5,22.700000000000003,8.3,Cowley County, Kansas
0500000US20037,"Crawford County, Kansas",38968,91.2,2.3,1.9,38968,22.0,12.0,21.1,19.9,6.699999999999999,Crawford County, Kansas
0500000US20039,"Decatur County, Kansas",2860,97.8,0.5,0.4,2860,9.1,10.6,20.1,29.5,14.799999999999999,Decatur County, Kansas
0500000US20041,"Dickinson County, Kansas",18828,94.8,1.4,0.5,18828,11.3,11.3,24.1,24.5,9.4,Dickinson County, Kansas
0500000US20043,"Doniphan County, Kansas",7684,92.5,6.0,0.1,7684,19.2,10.0,22.1,24.6,8.5,Doniphan County, Kansas
0500000US20045,"Douglas County, Kansas",120290,82.4,4.4,5.3,120290,26.599999999999998,14.8,21.299999999999997,17.1,4.699999999999999,Douglas County, Kansas
0500000US20047,"Edwards County, Kansas",2869,95.1,0.3,0.8,2869,7.3,12.7,23.4,28.5,9.3,Edwards County, Kansas
0500000US20049,"Elk County, Kansas",2523,93.8,0.4,0.5,2523,7.699999999999999,8.1,20.0,32.9,13.7,Elk County, Kansas
0500000US20051,"Ellis County, Kansas",28775,93.1,1.1,1.1,28775,20.6,13.5,20.3,19.9,6.8999999999999995,Ellis County, Kansas
0500000US20053,"Ellsworth County, Kansas",6231,90.6,3.2,1.3,6231,12.4,13.3,24.5,25.0,9.8,Ellsworth County, Kansas
0500000US20055,"Finney County, Kansas",36750,81.0,2.9,4.1,36750,15.7,13.6,23.6,17.299999999999997,4.1,Finney County, Kansas
0500000US20057,"Ford County, Kansas",34179,89.3,2.0,1.4,34179,15.0,14.0,24.2,16.5,5.0,Ford County, Kansas
0500000US20059,"Franklin County, Kansas",25558,93.4,0.9,0.4,25558,13.2,11.5,24.6,24.299999999999997,6.5,Franklin County, Kansas
0500000US20061,"Geary County, Kansas",34025,67.8,18.7,3.0,34025,18.7,20.9,18.700000000000003,10.7,3.4,Geary County, Kansas
