id,Geographic Area Name,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Percent!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,county_name,state
0500000US48295,"Lipscomb County, Texas",27.7,14.7,19.7,17.1,20.7,30761.0,19.9,Lipscomb County, Texas
0500000US48297,"Live Oak County, Texas",30.0,14.4,19.5,16.8,19.3,30451.0,17.9,Live Oak County, Texas
0500000US48299,"Llano County, Texas",29.3,21.8,23.1,15.8,9.9,25775.0,17.3,Llano County, Texas
0500000US48301,"Loving County, Texas",30.3,0.0,6.1,0.0,63.6,,12.2,Loving County, Texas
0500000US48303,"Lubbock County, Texas",36.9,18.8,23.0,9.2,12.0,27309.0,13.0,Lubbock County, Texas
0500000US48305,"Lynn County, Texas",33.2,15.7,18.6,19.1,13.4,30325.0,18.7,Lynn County, Texas
0500000US48307,"McCulloch County, Texas",23.5,23.4,16.6,15.6,21.0,26027.0,20.6,McCulloch County, Texas
0500000US48309,"McLennan County, Texas",32.5,18.4,21.9,11.0,16.1,27353.0,14.5,McLennan County, Texas
0500000US48311,"McMullen County, Texas",48.7,20.0,9.7,13.5,8.1,32095.0,17.8,McMullen County, Texas
0500000US48313,"Madison County, Texas",27.5,18.8,19.9,18.1,15.7,27158.0,15.4,Madison County, Texas
0500000US48315,"Marion County, Texas",25.7,17.7,23.2,14.1,19.3,29250.0,11.6,Marion County, Texas
0500000US48317,"Martin County, Texas",31.7,11.7,20.7,21.5,14.4,36406.0,10.9,Martin County, Texas
0500000US48319,"Mason County, Texas",28.9,20.4,20.5,23.9,6.2,25188.0,19.0,Mason County, Texas
0500000US48321,"Matagorda County, Texas",26.6,18.1,18.8,18.8,17.7,30894.0,17.9,Matagorda County, Texas
0500000US48323,"Maverick County, Texas",17.6,31.2,22.1,11.5,17.7,22238.0,31.1,Maverick County, Texas
0500000US48325,"Medina County, Texas",32.1,18.2,17.8,17.2,14.6,31800.0,14.0,Medina County, Texas
0500000US48327,"Menard County, Texas",23.5,10.3,19.8,31.0,15.4,25326.0,31.0,Menard County, Texas
0500000US48329,"Midland County, Texas",35.7,14.8,22.0,14.5,12.9,43102.0,16.6,Midland County, Texas
0500000US48331,"Milam County, Texas",29.0,16.4,20.0,20.4,14.2,30308.0,13.5,Milam County, Texas
0500000US48333,"Mills County, Texas",30.1,20.0,20.7,12.3,16.9,25550.0,17.8,Mills County, Texas
0500000US48335,"Mitchell County, Texas",31.1,22.1,18.6,19.6,8.6,34861.0,18.1,Mitchell County, Texas
0500000US48337,"Montague County, Texas",22.8,16.6,22.1,18.7,19.8,31046.0,18.7,Montague County, Texas
0500000US48339,"Montgomery County, Texas",41.4,14.8,21.9,10.4,11.5,42408.0,14.1,Montgomery County, Texas
0500000US48341,"Moore County, Texas",21.9,10.6,15.7,16.8,35.0,32496.0,17.3,Moore County, Texas
0500000US48343,"Morris County, Texas",25.4,21.0,19.5,9.5,24.6,27267.0,15.8,Morris County, Texas
0500000US48345,"Motley County, Texas",44.6,13.6,8.9,20.4,12.5,31424.0,18.4,Motley County, Texas
0500000US48347,"Nacogdoches County, Texas",31.5,17.8,22.5,13.2,15.0,22434.0,17.5,Nacogdoches County, Texas
0500000US48349,"Navarro County, Texas",29.0,18.1,18.7,13.4,20.7,27479.0,18.4,Navarro County, Texas
0500000US48351,"Newton County, Texas",25.0,18.6,18.8,17.5,20.1,27813.0,20.0,Newton County, Texas
0500000US48353,"Nolan County, Texas",26.6,19.3,20.7,13.5,19.8,26293.0,19.0,Nolan County, Texas
0500000US48355,"Nueces County, Texas",30.5,20.7,22.4,13.6,12.7,31517.0,17.1,Nueces County, Texas
0500000US48357,"Ochiltree County, Texas",22.7,15.6,19.1,24.3,18.3,26412.0,21.1,Ochiltree County, Texas
0500000US48359,"Oldham County, Texas",33.2,15.8,22.8,14.6,13.6,32984.0,10.4,Oldham County, Texas
0500000US48361,"Orange County, Texas",29.9,16.0,21.4,14.6,18.1,38121.0,15.9,Orange County, Texas
0500000US48363,"Palo Pinto County, Texas",29.2,19.4,20.6,14.1,16.7,28255.0,19.5,Palo Pinto County, Texas
