id,Geographic Area Name,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Percent!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,county_name,state
0500000US01001,"Autauga County, Alabama",37.8,16.8,22.0,7.8,15.6,35769.0,7.1,Autauga County, Alabama
0500000US01003,"Baldwin County, Alabama",37.1,17.8,23.8,9.3,12.0,32257.0,8.9,Baldwin County, Alabama
0500000US01005,"Barbour County, Alabama",26.9,15.4,19.1,14.1,24.6,25323.0,11.3,Barbour County, Alabama
0500000US01007,"Bibb County, Alabama",20.4,15.8,21.1,16.8,26.0,25860.0,10.7,Bibb County, Alabama
0500000US01009,"Blount County, Alabama",30.2,13.1,20.2,16.2,20.3,35500.0,10.8,Blount County, Alabama
0500000US01011,"Bullock County, Alabama",20.5,17.3,16.8,12.5,32.9,26938.0,11.4,Bullock County, Alabama
0500000US01013,"Butler County, Alabama",27.3,16.4,20.0,10.2,26.1,25327.0,8.7,Butler County, Alabama
0500000US01015,"Calhoun County, Alabama",28.2,17.0,23.0,10.4,21.3,28889.0,9.5,Calhoun County, Alabama
0500000US01017,"Chambers County, Alabama",22.9,15.8,19.1,10.5,31.7,29572.0,10.3,Chambers County, Alabama
0500000US01019,"Cherokee County, Alabama",28.1,15.1,15.8,14.0,27.1,30663.0,8.6,Cherokee County, Alabama
0500000US01021,"Chilton County, Alabama",22.2,13.6,23.3,19.0,21.9,30062.0,13.0,Chilton County, Alabama
0500000US01023,"Choctaw County, Alabama",26.4,15.0,21.0,16.0,21.6,29758.0,10.3,Choctaw County, Alabama
0500000US01025,"Clarke County, Alabama",23.3,14.6,18.9,16.5,26.7,32863.0,9.7,Clarke County, Alabama
0500000US01027,"Clay County, Alabama",24.2,13.8,16.7,10.4,34.9,25584.0,10.3,Clay County, Alabama
0500000US01029,"Cleburne County, Alabama",28.3,10.6,22.0,15.1,24.0,31633.0,12.3,Cleburne County, Alabama
0500000US01031,"Coffee County, Alabama",34.2,16.5,18.0,12.7,18.7,31707.0,9.8,Coffee County, Alabama
0500000US01033,"Colbert County, Alabama",29.1,15.7,21.5,10.9,22.9,30977.0,7.2,Colbert County, Alabama
0500000US01035,"Conecuh County, Alabama",16.1,15.7,23.7,9.5,34.9,25806.0,12.7,Conecuh County, Alabama
0500000US01037,"Coosa County, Alabama",22.0,17.7,23.8,13.5,23.1,26657.0,8.0,Coosa County, Alabama
0500000US01039,"Covington County, Alabama",29.7,13.8,20.3,14.9,21.3,30710.0,11.1,Covington County, Alabama
0500000US01041,"Crenshaw County, Alabama",23.7,15.7,23.6,14.6,22.5,30259.0,8.7,Crenshaw County, Alabama
0500000US01043,"Cullman County, Alabama",26.7,15.1,21.4,14.6,22.2,30243.0,11.1,Cullman County, Alabama
0500000US01045,"Dale County, Alabama",26.9,15.4,24.3,14.2,19.2,29199.0,11.6,Dale County, Alabama
0500000US01047,"Dallas County, Alabama",25.4,15.3,20.2,8.8,30.3,26025.0,11.1,Dallas County, Alabama
0500000US01049,"DeKalb County, Alabama",23.8,16.2,18.5,11.7,29.8,27143.0,13.7,DeKalb County, Alabama
0500000US01051,"Elmore County, Alabama",38.1,13.9,21.7,9.8,16.6,34954.0,7.4,Elmore County, Alabama
0500000US01053,"Escambia County, Alabama",25.1,23.3,21.1,10.8,19.8,29147.0,14.2,Escambia County, Alabama
0500000US01055,"Etowah County, Alabama",29.0,18.7,21.2,9.6,21.4,27254.0,10.6,Etowah County, Alabama
0500000US01057,"Fayette County, Alabama",25.2,15.9,20.1,10.2,28.6,29889.0,7.6,Fayette County, Alabama
0500000US01059,"Franklin County, Alabama",24.1,12.9,19.4,12.0,31.5,27307.0,11.7,Franklin County, Alabama
0500000US01061,"Geneva County, Alabama",26.5,17.0,20.7,16.4,19.4,29170.0,12.6,Geneva County, Alabama
0500000US01063,"Greene County, Alabama",21.8,19.5,17.6,9.6,31.4,23634.0,12.8,Greene County, Alabama
0500000US01065,"Hale County, Alabama",27.3,18.3,23.4,10.3,20.6,24128.0,9.5,Hale County, Alabama
0500000US01067,"Henry County, Alabama",30.1,17.2,21.0,9.5,22.2,29104.0,9.8,Henry County, Alabama
0500000US01069,"Houston County, Alabama",32.1,19.2,23.7,9.4,15.7,30060.0,10.5,Houston County, Alabama
0500000US01071,"Jackson County, Alabama",29.0,13.3,17.8,11.7,28.3,29599.0,9.5,Jackson County, Alabama
0500000US01073,"Jefferson County, Alabama",39.7,16.7,23.1,7.1,13.4,33710.0,9.2,Jefferson County, Alabama
0500000US01075,"Lamar County, Alabama",29.4,11.5,19.4,13.2,26.5,31518.0,10.6,Lamar County, Alabama
0500000US01077,"Lauderdale County, Alabama",30.3,17.6,23.7,10.5,17.9,29211.0,9.0,Lauderdale County, Alabama
0500000US01079,"Lawrence County, Alabama",26.7,12.6,18.2,13.4,29.1,32958.0,9.1,Lawrence County, Alabama
0500000US01081,"Lee County, Alabama",41.1,17.5,19.7,7.8,13.9,27414.0,7.8,Lee County, Alabama
0500000US01083,"Limestone County, Alabama",35.2,14.4,20.3,11.2,18.8,31980.0,9.6,Limestone County, Alabama
0500000US01085,"Lowndes County, Alabama",25.1,15.5,18.8,11.4,29.2,26961.0,8.8,Lowndes County, Alabama
0500000US01087,"Macon County, Alabama",31.3,20.7,21.4,7.3,19.3,20979.0,7.5,Macon County, Alabama
0500000US01089,"Madison County, Alabama",47.9,15.1,19.6,6.2,11.1,36746.0,8.3,Madison County, Alabama
0500000US01091,"Marengo County, Alabama",29.4,19.6,18.6,13.9,18.4,30375.0,8.8,Marengo County, Alabama
0500000US01093,"Marion County, Alabama",25.7,15.5,20.5,12.7,25.6,26142.0,8.7,Marion County, Alabama
0500000US01095,"Marshall County, Alabama",30.5,15.9,19.0,10.8,23.7,27778.0,12.3,Marshall County, Alabama
0500000US01097,"Mobile County, Alabama",32.9,17.6,22.4,10.6,16.4,31073.0,11.2,Mobile County, Alabama
0500000US01099,"Monroe County, Alabama",27.1,18.0,20.2,11.9,22.9,28732.0,11.4,Monroe County, Alabama
0500000US01101,"Montgomery County, Alabama",37.6,17.8,23.2,5.3,16.1,30281.0,10.0,Montgomery County, Alabama
0500000US01103,"Morgan County, Alabama",32.1,16.3,21.1,10.6,19.9,30522.0,9.6,Morgan County, Alabama
0500000US01105,"Perry County, Alabama",27.7,25.7,22.6,4.5,19.5,19866.0,9.3,Perry County, Alabama
0500000US01107,"Pickens County, Alabama",30.0,14.4,19.2,11.6,24.7,24813.0,9.1,Pickens County, Alabama
0500000US01109,"Pike County, Alabama",30.5,20.4,23.0,7.3,18.8,23377.0,9.7,Pike County, Alabama
0500000US01111,"Randolph County, Alabama",26.4,13.3,20.4,11.6,28.2,30492.0,9.1,Randolph County, Alabama
0500000US01113,"Russell County, Alabama",30.2,17.1,26.0,9.4,17.4,29536.0,11.5,Russell County, Alabama
0500000US01115,"St. Clair County, Alabama",30.3,15.6,22.9,12.4,18.8,36035.0,8.5,St. Clair County, Alabama
0500000US01117,"Shelby County, Alabama",46.3,13.0,24.2,7.3,9.2,42049.0,6.2,Shelby County, Alabama
0500000US01119,"Sumter County, Alabama",28.6,20.2,25.2,8.6,17.4,22350.0,12.5,Sumter County, Alabama
0500000US01121,"Talladega County, Alabama",28.6,15.9,18.3,11.0,26.3,29491.0,9.3,Talladega County, Alabama
0500000US01123,"Tallapoosa County, Alabama",29.9,16.0,19.5,12.3,22.3,30192.0,8.2,Tallapoosa County, Alabama
0500000US01125,"Tuscaloosa County, Alabama",35.8,16.6,20.4,8.6,18.6,28865.0,7.2,Tuscaloosa County, Alabama
0500000US01127,"Walker County, Alabama",27.1,17.8,20.9,14.7,19.6,30630.0,11.8,Walker County, Alabama
0500000US01129,"Washington County, Alabama",25.3,18.3,17.5,17.9,21.0,30911.0,9.4,Washington County, Alabama
0500000US01131,"Wilcox County, Alabama",22.5,20.1,20.2,9.8,27.2,25086.0,10.9,Wilcox County, Alabama
0500000US01133,"Winston County, Alabama",24.5,14.2,19.3,14.7,27.3,26223.0,12.3,Winston County, Alabama
0500000US04001,"Apache County, Arizona",31.2,23.3,20.1,12.8,12.5,31503.0,25.1,Apache County, Arizona
0500000US04003,"Cochise County, Arizona",33.2,25.3,22.0,10.0,9.4,27028.0,7.8,Cochise County, Arizona
0500000US04005,"Coconino County, Arizona",37.9,23.1,21.4,8.0,9.7,25570.0,11.2,Coconino County, Arizona
0500000US04007,"Gila County, Arizona",33.7,23.3,19.8,13.4,9.8,27703.0,10.0,Gila County, Arizona
0500000US04009,"Graham County, Arizona",25.9,20.7,23.7,17.0,12.7,26155.0,6.9,Graham County, Arizona
0500000US04011,"Greenlee County, Arizona",22.6,17.8,10.2,30.4,19.0,39740.0,4.6,Greenlee County, Arizona
0500000US04012,"La Paz County, Arizona",22.5,25.9,19.2,18.4,13.9,22904.0,14.7,La Paz County, Arizona
0500000US04013,"Maricopa County, Arizona",38.3,17.7,24.7,8.4,10.9,35553.0,10.6,Maricopa County, Arizona
0500000US04015,"Mohave County, Arizona",24.8,25.4,24.8,10.2,14.8,26709.0,8.9,Mohave County, Arizona
0500000US04017,"Navajo County, Arizona",29.8,24.7,21.4,11.9,12.1,25719.0,13.2,Navajo County, Arizona
0500000US04019,"Pima County, Arizona",37.0,21.6,23.2,8.7,9.5,29270.0,9.2,Pima County, Arizona
0500000US04021,"Pinal County, Arizona",31.0,21.4,24.0,10.4,13.2,31660.0,8.8,Pinal County, Arizona
0500000US04023,"Santa Cruz County, Arizona",26.5,21.2,28.2,9.6,14.4,26330.0,10.2,Santa Cruz County, Arizona
0500000US04025,"Yavapai County, Arizona",32.1,23.5,22.8,10.4,11.1,27221.0,9.8,Yavapai County, Arizona
0500000US04027,"Yuma County, Arizona",26.3,21.1,20.7,18.3,13.6,26452.0,12.7,Yuma County, Arizona
0500000US05001,"Arkansas County, Arkansas",28.7,15.4,21.4,11.1,23.4,30221.0,6.8,Arkansas County, Arkansas
0500000US05003,"Ashley County, Arkansas",26.0,17.4,17.0,13.2,26.4,30402.0,7.8,Ashley County, Arkansas
0500000US05005,"Baxter County, Arkansas",32.1,17.5,19.5,9.7,21.2,27181.0,5.2,Baxter County, Arkansas
0500000US05007,"Benton County, Arkansas",37.9,13.6,23.2,9.0,16.3,36750.0,8.9,Benton County, Arkansas
0500000US05009,"Boone County, Arkansas",30.4,17.4,24.9,9.5,17.8,26943.0,6.9,Boone County, Arkansas
0500000US05011,"Bradley County, Arkansas",25.4,16.4,14.7,18.0,25.6,33536.0,11.0,Bradley County, Arkansas
0500000US05013,"Calhoun County, Arkansas",25.5,11.7,17.6,18.1,27.1,30511.0,9.3,Calhoun County, Arkansas
0500000US05015,"Carroll County, Arkansas",29.1,18.8,19.3,13.0,19.8,26773.0,11.1,Carroll County, Arkansas
0500000US05017,"Chicot County, Arkansas",30.2,21.2,20.9,10.0,17.7,27220.0,9.3,Chicot County, Arkansas
0500000US05019,"Clark County, Arkansas",30.9,21.5,21.2,8.7,17.8,21983.0,8.5,Clark County, Arkansas
0500000US05021,"Clay County, Arkansas",27.4,19.1,19.6,13.1,20.7,26162.0,6.5,Clay County, Arkansas
0500000US05023,"Cleburne County, Arkansas",27.6,21.0,19.1,14.1,18.3,27541.0,8.2,Cleburne County, Arkansas
0500000US05025,"Cleveland County, Arkansas",32.4,12.1,19.9,16.2,19.4,36927.0,5.5,Cleveland County, Arkansas
0500000US05027,"Columbia County, Arkansas",31.0,17.4,20.8,9.5,21.2,25162.0,7.1,Columbia County, Arkansas
0500000US05029,"Conway County, Arkansas",25.8,17.2,20.0,17.3,19.8,27316.0,6.8,Conway County, Arkansas
0500000US05031,"Craighead County, Arkansas",34.0,17.9,21.0,10.2,16.9,28367.0,8.8,Craighead County, Arkansas
0500000US05033,"Crawford County, Arkansas",30.0,16.2,23.0,9.6,21.2,31127.0,8.1,Crawford County, Arkansas
0500000US05035,"Crittenden County, Arkansas",29.2,19.4,21.1,10.3,20.0,30670.0,8.4,Crittenden County, Arkansas
0500000US05037,"Cross County, Arkansas",25.0,16.3,24.7,14.4,19.7,31119.0,7.7,Cross County, Arkansas
0500000US05039,"Dallas County, Arkansas",19.7,28.4,16.1,9.9,25.8,25769.0,6.5,Dallas County, Arkansas
0500000US05041,"Desha County, Arkansas",28.2,18.0,20.8,15.9,17.1,26796.0,6.3,Desha County, Arkansas
0500000US05043,"Drew County, Arkansas",35.5,18.7,20.4,11.4,13.9,30877.0,5.5,Drew County, Arkansas
0500000US05045,"Faulkner County, Arkansas",37.7,16.9,22.7,9.3,13.3,31058.0,8.8,Faulkner County, Arkansas
0500000US05047,"Franklin County, Arkansas",26.8,14.3,22.0,12.7,24.2,27851.0,5.5,Franklin County, Arkansas
0500000US05049,"Fulton County, Arkansas",26.9,23.6,20.7,13.5,15.4,21678.0,12.1,Fulton County, Arkansas
0500000US05051,"Garland County, Arkansas",31.7,21.0,26.1,10.5,10.7,26579.0,10.5,Garland County, Arkansas
0500000US05053,"Grant County, Arkansas",32.4,14.7,19.2,13.5,20.2,37048.0,4.8,Grant County, Arkansas
0500000US05055,"Greene County, Arkansas",28.4,14.3,20.9,11.1,25.3,29463.0,7.7,Greene County, Arkansas
0500000US05057,"Hempstead County, Arkansas",25.8,19.5,17.5,13.3,23.9,26934.0,9.1,Hempstead County, Arkansas
0500000US05059,"Hot Spring County, Arkansas",28.2,17.6,21.9,12.7,19.6,27411.0,7.1,Hot Spring County, Arkansas
0500000US05061,"Howard County, Arkansas",24.3,13.3,16.4,19.2,26.8,25346.0,8.6,Howard County, Arkansas
0500000US05063,"Independence County, Arkansas",27.3,17.0,21.2,10.8,23.7,26597.0,8.7,Independence County, Arkansas
0500000US05065,"Izard County, Arkansas",30.7,20.8,15.8,12.7,20.0,25669.0,6.2,Izard County, Arkansas
0500000US05067,"Jackson County, Arkansas",24.5,22.1,20.5,13.7,19.2,23307.0,7.7,Jackson County, Arkansas
0500000US05069,"Jefferson County, Arkansas",30.1,21.1,19.3,6.9,22.6,30072.0,6.8,Jefferson County, Arkansas
0500000US05071,"Johnson County, Arkansas",26.2,14.4,19.9,11.9,27.6,26463.0,11.1,Johnson County, Arkansas
0500000US05073,"Lafayette County, Arkansas",29.6,16.8,20.8,13.4,19.4,26804.0,8.2,Lafayette County, Arkansas
0500000US05075,"Lawrence County, Arkansas",27.6,15.5,22.0,14.3,20.6,25858.0,6.6,Lawrence County, Arkansas
0500000US05077,"Lee County, Arkansas",23.4,20.5,21.8,12.8,21.5,26483.0,7.2,Lee County, Arkansas
0500000US05079,"Lincoln County, Arkansas",28.8,20.2,17.2,13.9,19.9,28997.0,7.4,Lincoln County, Arkansas
0500000US05081,"Little River County, Arkansas",29.2,13.2,17.3,12.9,27.4,30125.0,6.2,Little River County, Arkansas
0500000US05083,"Logan County, Arkansas",23.6,18.4,18.2,13.9,25.9,25620.0,6.6,Logan County, Arkansas
0500000US05085,"Lonoke County, Arkansas",36.3,14.6,23.6,11.6,13.9,36728.0,7.6,Lonoke County, Arkansas
0500000US05087,"Madison County, Arkansas",30.6,15.5,19.1,16.5,18.3,28908.0,10.3,Madison County, Arkansas
0500000US05089,"Marion County, Arkansas",29.7,20.0,17.8,10.6,22.0,23033.0,5.7,Marion County, Arkansas
0500000US05091,"Miller County, Arkansas",31.5,16.2,22.9,9.0,20.4,30823.0,9.4,Miller County, Arkansas
0500000US05093,"Mississippi County, Arkansas",25.9,17.2,18.6,11.5,26.8,27372.0,7.4,Mississippi County, Arkansas
0500000US05095,"Monroe County, Arkansas",24.2,21.2,20.1,8.9,25.6,30777.0,8.9,Monroe County, Arkansas
0500000US05097,"Montgomery County, Arkansas",27.7,16.2,20.0,16.5,19.6,25256.0,10.2,Montgomery County, Arkansas
0500000US05099,"Nevada County, Arkansas",30.6,21.5,11.6,15.6,20.6,26730.0,9.4,Nevada County, Arkansas
0500000US05101,"Newton County, Arkansas",30.4,18.4,20.6,16.1,14.5,23830.0,5.0,Newton County, Arkansas
0500000US05103,"Ouachita County, Arkansas",32.2,16.1,18.0,10.0,23.7,26408.0,7.1,Ouachita County, Arkansas
0500000US05105,"Perry County, Arkansas",29.2,17.2,21.5,16.7,15.4,30927.0,5.1,Perry County, Arkansas
0500000US05107,"Phillips County, Arkansas",27.7,19.3,22.9,9.7,20.3,26643.0,8.4,Phillips County, Arkansas
0500000US05109,"Pike County, Arkansas",27.9,19.7,16.3,12.8,23.2,25916.0,9.1,Pike County, Arkansas
0500000US05111,"Poinsett County, Arkansas",23.3,18.8,20.6,14.9,22.4,26830.0,11.3,Poinsett County, Arkansas
0500000US05113,"Polk County, Arkansas",30.6,16.5,17.2,15.9,19.8,23928.0,10.5,Polk County, Arkansas
0500000US05115,"Pope County, Arkansas",30.4,19.4,19.3,11.2,19.7,24216.0,8.6,Pope County, Arkansas
0500000US05117,"Prairie County, Arkansas",32.6,15.6,20.3,11.5,20.0,32641.0,7.8,Prairie County, Arkansas
0500000US05119,"Pulaski County, Arkansas",41.3,16.4,23.3,6.1,12.8,33431.0,7.9,Pulaski County, Arkansas
0500000US05121,"Randolph County, Arkansas",27.8,14.9,17.4,14.9,25.0,26933.0,7.3,Randolph County, Arkansas
0500000US05123,"St. Francis County, Arkansas",25.3,20.4,17.2,12.7,24.4,25416.0,8.6,St. Francis County, Arkansas
0500000US05125,"Saline County, Arkansas",36.6,14.7,24.5,10.1,14.2,37227.0,6.0,Saline County, Arkansas
0500000US05127,"Scott County, Arkansas",25.3,17.9,17.2,15.2,24.3,23573.0,10.0,Scott County, Arkansas
0500000US05129,"Searcy County, Arkansas",25.6,16.3,22.6,12.4,23.1,23260.0,6.5,Searcy County, Arkansas
0500000US05131,"Sebastian County, Arkansas",31.2,18.1,21.1,9.8,19.7,27919.0,10.4,Sebastian County, Arkansas
0500000US05133,"Sevier County, Arkansas",20.7,13.7,16.6,18.5,30.6,26581.0,16.8,Sevier County, Arkansas
0500000US05135,"Sharp County, Arkansas",27.6,18.8,20.7,12.3,20.5,24311.0,6.3,Sharp County, Arkansas
0500000US05137,"Stone County, Arkansas",30.9,21.1,13.4,23.1,11.5,20851.0,7.6,Stone County, Arkansas
0500000US05139,"Union County, Arkansas",33.5,16.0,22.6,10.4,17.5,31511.0,7.5,Union County, Arkansas
0500000US05141,"Van Buren County, Arkansas",29.6,19.8,19.6,14.4,16.6,23141.0,9.6,Van Buren County, Arkansas
0500000US05143,"Washington County, Arkansas",38.7,16.3,20.9,9.0,15.1,30227.0,11.6,Washington County, Arkansas
0500000US05145,"White County, Arkansas",32.9,18.1,19.1,11.6,18.4,28631.0,8.3,White County, Arkansas
0500000US05147,"Woodruff County, Arkansas",34.0,16.2,20.9,12.4,16.4,31624.0,6.0,Woodruff County, Arkansas
0500000US05149,"Yell County, Arkansas",24.7,15.8,20.8,14.9,23.9,27103.0,7.9,Yell County, Arkansas
0500000US06001,"Alameda County, California",50.2,15.4,18.3,6.2,9.9,50754.0,4.4,Alameda County, California
0500000US06003,"Alpine County, California",37.3,19.8,16.0,14.3,12.5,24107.0,8.9,Alpine County, California
0500000US06005,"Amador County, California",33.9,22.7,21.8,11.3,10.4,35732.0,4.7,Amador County, California
0500000US06007,"Butte County, California",36.8,21.4,21.1,8.9,11.8,27117.0,6.2,Butte County, California
0500000US06009,"Calaveras County, California",32.3,22.6,22.0,12.3,10.7,34569.0,4.4,Calaveras County, California
0500000US06011,"Colusa County, California",24.0,17.4,14.9,27.3,16.3,30316.0,9.8,Colusa County, California
0500000US06013,"Contra Costa County, California",44.1,18.0,21.1,7.7,9.1,47444.0,5.1,Contra Costa County, California
0500000US06015,"Del Norte County, California",35.0,29.1,16.0,10.2,9.6,27586.0,6.5,Del Norte County, California
0500000US06017,"El Dorado County, California",41.2,19.4,22.2,8.2,9.0,41510.0,4.6,El Dorado County, California
0500000US06019,"Fresno County, California",30.3,19.8,20.8,14.9,14.1,28559.0,8.3,Fresno County, California
0500000US06021,"Glenn County, California",22.7,18.5,17.7,20.6,20.6,26638.0,8.6,Glenn County, California
0500000US06023,"Humboldt County, California",34.7,22.3,22.5,10.2,10.3,26165.0,8.2,Humboldt County, California
0500000US06025,"Imperial County, California",25.2,25.5,22.2,14.0,13.0,25670.0,8.0,Imperial County, California
0500000US06027,"Inyo County, California",36.4,19.3,22.6,13.7,8.0,34630.0,5.8,Inyo County, California
0500000US06029,"Kern County, California",27.1,18.7,19.1,20.8,14.4,28828.0,7.9,Kern County, California
0500000US06031,"Kings County, California",25.2,21.4,19.0,19.8,14.6,30368.0,7.5,Kings County, California
0500000US06033,"Lake County, California",27.5,26.7,19.7,15.0,11.2,26930.0,7.1,Lake County, California
0500000US06035,"Lassen County, California",31.2,27.6,18.7,11.1,11.5,37414.0,4.4,Lassen County, California
0500000US06037,"Los Angeles County, California",37.6,19.0,22.2,7.6,13.7,33170.0,9.6,Los Angeles County, California
0500000US06039,"Madera County, California",23.9,18.8,20.2,22.5,14.6,25800.0,8.3,Madera County, California
0500000US06041,"Marin County, California",55.3,14.8,19.6,5.3,5.0,54253.0,3.5,Marin County, California
0500000US06043,"Mariposa County, California",29.5,31.6,19.2,8.8,10.9,28728.0,5.6,Mariposa County, California
0500000US06045,"Mendocino County, California",32.3,22.5,21.2,14.3,9.7,27094.0,8.6,Mendocino County, California
0500000US06047,"Merced County, California",23.4,19.3,18.9,19.9,18.4,27695.0,8.3,Merced County, California
0500000US06049,"Modoc County, California",33.3,23.6,17.2,17.1,8.7,27507.0,12.5,Modoc County, California
0500000US06051,"Mono County, California",35.5,32.9,16.1,8.7,6.9,30706.0,16.1,Mono County, California
0500000US06053,"Monterey County, California",29.1,19.8,18.7,20.6,11.8,29620.0,9.8,Monterey County, California
0500000US06055,"Napa County, California",36.6,20.6,20.6,10.9,11.3,39923.0,5.9,Napa County, California
0500000US06057,"Nevada County, California",41.5,18.5,22.0,9.6,8.5,35234.0,6.5,Nevada County, California
0500000US06059,"Orange County, California",42.5,17.1,23.2,6.5,10.7,40114.0,7.6,Orange County, California
0500000US06061,"Placer County, California",46.2,16.5,22.9,6.9,7.5,47743.0,4.0,Placer County, California
0500000US06063,"Plumas County, California",37.4,24.6,15.0,12.2,10.8,32305.0,3.1,Plumas County, California
0500000US06065,"Riverside County, California",30.2,20.8,22.9,11.3,14.8,31767.0,8.8,Riverside County, California
0500000US06067,"Sacramento County, California",39.1,19.3,22.8,7.9,10.8,36965.0,5.5,Sacramento County, California
0500000US06069,"San Benito County, California",29.3,18.0,20.9,16.6,15.2,35422.0,7.5,San Benito County, California
0500000US06071,"San Bernardino County, California",29.5,18.6,23.0,10.2,18.8,31418.0,8.4,San Bernardino County, California
0500000US06073,"San Diego County, California",42.2,19.5,21.3,7.6,9.5,37579.0,7.8,San Diego County, California
0500000US06075,"San Francisco County, California",57.6,15.4,18.0,3.1,5.9,62539.0,3.7,San Francisco County, California
0500000US06077,"San Joaquin County, California",27.9,18.3,21.7,13.9,18.2,33364.0,6.4,San Joaquin County, California
0500000US06079,"San Luis Obispo County, California",40.1,20.5,20.8,10.3,8.2,31821.0,6.0,San Luis Obispo County, California
0500000US06081,"San Mateo County, California",49.6,16.8,19.6,5.9,8.1,53921.0,4.2,San Mateo County, California
0500000US06083,"Santa Barbara County, California",35.9,21.3,19.2,14.3,9.3,30042.0,10.0,Santa Barbara County, California
0500000US06085,"Santa Clara County, California",54.2,14.7,16.8,6.0,8.2,54763.0,4.3,Santa Clara County, California
0500000US06087,"Santa Cruz County, California",41.6,19.0,19.6,11.0,8.8,31343.0,5.1,Santa Cruz County, California
0500000US06089,"Shasta County, California",33.6,22.1,23.0,10.1,11.2,31416.0,6.5,Shasta County, California
0500000US06091,"Sierra County, California",29.1,20.0,18.2,20.8,11.9,29125.0,8.8,Sierra County, California
0500000US06093,"Siskiyou County, California",35.2,20.9,18.4,14.8,10.7,26957.0,5.9,Siskiyou County, California
0500000US06095,"Solano County, California",33.0,20.1,22.2,11.1,13.6,40062.0,4.7,Solano County, California
0500000US06097,"Sonoma County, California",38.2,19.9,21.2,10.4,10.3,37482.0,6.1,Sonoma County, California
0500000US06099,"Stanislaus County, California",28.0,17.7,21.4,14.4,18.4,32037.0,5.7,Stanislaus County, California
0500000US06101,"Sutter County, California",28.5,18.8,20.7,17.3,14.6,30036.0,8.0,Sutter County, California
0500000US06103,"Tehama County, California",25.7,22.5,21.5,15.5,14.8,27307.0,6.3,Tehama County, California
0500000US06105,"Trinity County, California",30.2,26.3,17.9,10.3,15.3,25142.0,10.5,Trinity County, California
0500000US06107,"Tulare County, California",26.9,17.9,19.1,21.0,15.0,26622.0,8.1,Tulare County, California
0500000US06109,"Tuolumne County, California",33.3,26.8,18.2,11.0,10.7,31748.0,5.5,Tuolumne County, California
0500000US06111,"Ventura County, California",38.2,17.5,21.8,11.8,10.8,36950.0,8.8,Ventura County, California
0500000US06113,"Yolo County, California",44.7,17.9,17.5,9.2,10.7,32064.0,4.8,Yolo County, California
0500000US06115,"Yuba County, California",27.9,20.2,22.9,14.0,15.0,31871.0,7.2,Yuba County, California
0500000US08001,"Adams County, Colorado",30.7,17.9,22.9,13.9,14.6,36453.0,10.1,Adams County, Colorado
0500000US08003,"Alamosa County, Colorado",33.4,22.4,20.6,11.9,11.7,25169.0,12.2,Alamosa County, Colorado
0500000US08005,"Arapahoe County, Colorado",42.7,16.4,22.9,8.0,10.1,40367.0,7.7,Arapahoe County, Colorado
0500000US08007,"Archuleta County, Colorado",33.3,22.4,19.1,16.2,9.1,25950.0,10.7,Archuleta County, Colorado
0500000US08009,"Baca County, Colorado",40.6,16.5,12.8,17.3,12.9,26591.0,6.8,Baca County, Colorado
0500000US08011,"Bent County, Colorado",30.4,21.7,20.6,15.8,11.6,26370.0,8.8,Bent County, Colorado
0500000US08013,"Boulder County, Colorado",54.4,14.9,18.6,5.0,7.1,36752.0,4.6,Boulder County, Colorado
0500000US08014,"Broomfield County, Colorado",55.2,12.2,20.4,5.1,7.0,51014.0,4.3,Broomfield County, Colorado
0500000US08015,"Chaffee County, Colorado",36.4,19.8,18.4,15.1,10.3,31148.0,10.0,Chaffee County, Colorado
0500000US08017,"Cheyenne County, Colorado",41.3,9.4,19.6,19.2,10.5,37240.0,11.7,Cheyenne County, Colorado
0500000US08019,"Clear Creek County, Colorado",37.8,20.9,21.0,12.9,7.3,36653.0,9.9,Clear Creek County, Colorado
0500000US08021,"Conejos County, Colorado",32.6,20.9,14.7,20.0,11.9,25444.0,10.5,Conejos County, Colorado
0500000US08023,"Costilla County, Colorado",29.0,12.1,23.0,20.9,15.1,22132.0,11.5,Costilla County, Colorado
0500000US08025,"Crowley County, Colorado",27.8,36.2,18.1,8.4,9.5,20521.0,6.2,Crowley County, Colorado
0500000US08027,"Custer County, Colorado",37.0,14.7,14.3,23.4,10.6,32104.0,16.2,Custer County, Colorado
0500000US08029,"Delta County, Colorado",31.9,20.0,19.3,16.8,12.1,28018.0,8.5,Delta County, Colorado
0500000US08031,"Denver County, Colorado",48.6,15.7,19.7,7.6,8.4,42709.0,9.3,Denver County, Colorado
0500000US08033,"Dolores County, Colorado",30.8,19.8,20.8,21.6,6.9,31006.0,5.3,Dolores County, Colorado
0500000US08035,"Douglas County, Colorado",54.6,12.2,23.1,4.4,5.6,55197.0,2.8,Douglas County, Colorado
